Company Name,Industry,Symbol,Series,ISIN Code
Newgen Software Technologies LIMITED,Information Technology,NEWGEN,EQ,INE619B01017
Nippon Life India Asset Management LIMITED,Financial Services,NAM-INDIA,EQ,INE298J01013
Niva Bupa Health Insurance Company LIMITED,Financial Services,NIVABUPA,EQ,INE995S01015
Nuvama Wealth Management LIMITED,Financial Services,NUVAMA,EQ,INE531F01015
Oberoi Realty LIMITED,Realty,OBEROIRLTY,EQ,INE093I01010
Oil & Natural Gas Corporation LIMITED,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
Oil India LIMITED,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
Ola Electric Mobility LIMITED,Automobile and Auto Components,OLAELEC,EQ,INE0LXG01040
Olectra Greentech LIMITED,Automobile and Auto Components,OLECTRA,EQ,INE260D01016
One 97 Communications LIMITED,Financial Services,PAYTM,EQ,INE982J01020
Oracle Financial Services Software LIMITED,Information Technology,OFSS,EQ,INE881D01027
PB Fintech LIMITED,Financial Services,POLICYBZR,EQ,INE417T01026
PCBL Chemical LIMITED,Chemicals,PCBL,EQ,INE602A01031
PG Electroplast LIMITED,Consumer Durables,PGEL,EQ,INE457L01029
PI Industries LIMITED,Chemicals,PIIND,EQ,INE603J01030
PNB Housing Finance LIMITED,Financial Services,PNBHOUSING,EQ,INE572E01012
PNC Infratech LIMITED,Construction,PNCINFRA,EQ,INE195J01029
PTC Industries LIMITED,Capital Goods,PTCIL,EQ,INE596F01018
PVR INOX LIMITED,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014
Page Industries LIMITED,Textiles,PAGEIND,EQ,INE761H01022
Patanjali Foods LIMITED,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035
Persistent Systems LIMITED,Information Technology,PERSISTENT,EQ,INE262H01021
Petronet LNG LIMITED,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014
Pfizer LIMITED,Healthcare,PFIZER,EQ,INE182A01018
Phoenix Mills LIMITED,Realty,PHOENIXLTD,EQ,INE211B01039
Pidilite Industries LIMITED,Chemicals,PIDILITIND,EQ,INE318A01026
Piramal Enterprises LIMITED,Financial Services,PEL,EQ,INE140A01024
Piramal Pharma LIMITED,Healthcare,PPLPHARMA,EQ,INE0DK501011
Poly Medicure LIMITED,Healthcare,POLYMED,EQ,INE205C01021
Polycab India LIMITED,Capital Goods,POLYCAB,EQ,INE455K01017
Poonawalla Fincorp LIMITED,Financial Services,POONAWALLA,EQ,INE511C01022
Power Finance Corporation LIMITED,Financial Services,PFC,EQ,INE134E01011
Power Grid Corporation of India LIMITED,Power,POWERGRID,EQ,INE752E01010
Praj Industries LIMITED,Capital Goods,PRAJIND,EQ,INE074A01025
Premier Energies LIMITED,Capital Goods,PREMIERENE,EQ,INE0BS701011
Prestige Estates Projects LIMITED,Realty,PRESTIGE,EQ,INE811K01011
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
R R Kabel LIMITED,Capital Goods,RRKABEL,EQ,INE777K01022
RBL Bank LIMITED,Financial Services,RBLBANK,EQ,INE976G01028
REC LIMITED,Financial Services,RECLTD,EQ,INE020B01018
RHI MAGNESITA INDIA LIMITED,Capital Goods,RHIM,EQ,INE743M01012
RITES LIMITED,Construction,RITES,EQ,INE320J01015
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Rail Vikas Nigam LIMITED,Construction,RVNL,EQ,INE415G01027
Railtel Corporation Of India LIMITED,Telecommunication,RAILTEL,EQ,INE0DD101019
Rainbow Childrens Medicare LIMITED,Healthcare,RAINBOW,EQ,INE961O01016
Ramkrishna Forgings LIMITED,Automobile and Auto Components,RKFORGE,EQ,INE399G01023
Rashtriya Chemicals & Fertilizers LIMITED,Chemicals,RCF,EQ,INE027A01015
RattanIndia Enterprises LIMITED,Consumer Services,RTNINDIA,EQ,INE834M01019
Raymond Lifestyle LIMITED,Textiles,RAYMONDLSL,EQ,INE02ID01020
Raymond LIMITED,Realty,RAYMOND,EQ,INE301A01014
Redington LIMITED,Services,REDINGTON,EQ,INE891D01026
Reliance Industries LIMITED,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
Reliance Power LIMITED,Power,RPOWER,BE,INE614G01033
Route Mobile LIMITED,Telecommunication,ROUTE,EQ,INE450U01017
SBFC Finance LIMITED,Financial Services,SBFC,EQ,INE423Y01016
SBI Cards and Payment Services LIMITED,Financial Services,SBICARD,EQ,INE018E01016
SBI Life Insurance Company LIMITED,Financial Services,SBILIFE,EQ,INE123W01016
SJVN LIMITED,Power,SJVN,EQ,INE002L01015
SKF India LIMITED,Capital Goods,SKFINDIA,EQ,INE640A01023
SRF LIMITED,Chemicals,SRF,EQ,INE647A01010
Sagility India LIMITED,Information Technology,SAGILITY,EQ,INE0W2G01015
Sai Life Sciences LIMITED,Healthcare,SAILIFE,EQ,INE570L01029
Sammaan Capital LIMITED,Financial Services,SAMMAANCAP,EQ,INE148I01020
Samvardhana Motherson International LIMITED,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
Sapphire Foods India LIMITED,Consumer Services,SAPPHIRE,EQ,INE806T01020
Sarda Energy and Minerals LIMITED,Metals & Mining,SARDAEN,EQ,INE385C01021
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025
Schaeffler India LIMITED,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022
Schneider Electric Infrastructure LIMITED,Capital Goods,SCHNEIDER,BE,INE839M01018
Shipping Corporation of India LIMITED,Services,SCI,EQ,INE109A01011
Shree Cement LIMITED,Construction Materials,SHREECEM,EQ,INE070A01015
Shree Renuka Sugars LIMITED,Fast Moving Consumer Goods,RENUKA,EQ,INE087H01022
Shriram Finance LIMITED,Financial Services,SHRIRAMFIN,EQ,INE721A01047
Shyam Metalics and Energy LIMITED,Capital Goods,SHYAMMETL,EQ,INE810G01011
Siemens LIMITED,Capital Goods,SIEMENS,EQ,INE003A01024
Signatureglobal (India) LIMITED,Realty,SIGNATURE,EQ,INE903U01023
Sobha LIMITED,Realty,SOBHA,EQ,INE671H01015
Solar Industries India LIMITED,Chemicals,SOLARINDS,EQ,INE343H01029
Sona BLW Precision Forgings LIMITED,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
Sonata Software LIMITED,Information Technology,SONATSOFTW,EQ,INE269A01021
Star Health and Allied Insurance Company LIMITED,Financial Services,STARHEALTH,EQ,INE575P01011
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
Steel Authority of India LIMITED,Metals & Mining,SAIL,EQ,INE114A01011
Sterling and Wilson Renewable Energy LIMITED,Construction,SWSOLAR,EQ,INE00M201021
Sumitomo Chemical India LIMITED,Chemicals,SUMICHEM,EQ,INE258G01013
Sun Pharmaceutical Industries LIMITED,Healthcare,SUNPHARMA,EQ,INE044A01036
Sun TV Network LIMITED,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
Sundaram Finance LIMITED,Financial Services,SUNDARMFIN,EQ,INE660A01013
Sundram Fasteners LIMITED,Automobile and Auto Components,SUNDRMFAST,EQ,INE387A01021
Supreme Industries LIMITED,Capital Goods,SUPREMEIND,EQ,INE195A01028
Suzlon Energy LIMITED,Capital Goods,SUZLON,EQ,INE040H01021
Swan Energy LIMITED,Chemicals,SWANENERGY,EQ,INE665A01038
Swiggy LIMITED,Consumer Services,SWIGGY,EQ,INE00H001014
Syngene International LIMITED,Healthcare,SYNGENE,EQ,INE398R01022
Syrma SGS Technology LIMITED,Capital Goods,SYRMA,EQ,INE0DYJ01015
TBO Tek LIMITED,Consumer Services,TBOTEK,EQ,INE673O01025
TVS Motor Company LIMITED,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tanla Platforms LIMITED,Information Technology,TANLA,EQ,INE483C01032
Tata Chemicals LIMITED,Chemicals,TATACHEM,EQ,INE092A01019
Tata Communications LIMITED,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Consultancy Services LIMITED,Information Technology,TCS,EQ,INE467B01029
Tata Consumer Products LIMITED,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
Tata Elxsi LIMITED,Information Technology,TATAELXSI,EQ,INE670A01012
Tata Investment Corporation LIMITED,Financial Services,TATAINVEST,EQ,INE672A01018
Tata Motors LIMITED,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
Tata Power Co. LIMITED,Power,TATAPOWER,EQ,INE245A01021
Tata Steel LIMITED,Metals & Mining,TATASTEEL,EQ,INE081A01020
Tata Technologies LIMITED,Information Technology,TATATECH,EQ,INE142M01025
Tata Teleservices (Maharashtra) LIMITED,Telecommunication,TTML,BE,INE517B01013
Tech Mahindra LIMITED,Information Technology,TECHM,EQ,INE669C01036
Techno Electric & Engineering Company LIMITED,Construction,TECHNOE,EQ,INE285K01026
Tejas Networks LIMITED,Telecommunication,TEJASNET,EQ,INE010J01012
The New India Assurance Company LIMITED,Financial Services,NIACL,EQ,INE470Y01017
The Ramco Cements LIMITED,Construction Materials,RAMCOCEM,EQ,INE331A01037
Thermax LIMITED,Capital Goods,THERMAX,EQ,INE152A01029
Timken India LIMITED,Capital Goods,TIMKEN,EQ,INE325A01013
Titagarh Rail Systems LIMITED,Capital Goods,TITAGARH,EQ,INE615H01020
Titan Company LIMITED,Consumer Durables,TITAN,EQ,INE280A01028
Torrent Pharmaceuticals LIMITED,Healthcare,TORNTPHARM,EQ,INE685A01028
Torrent Power LIMITED,Power,TORNTPOWER,EQ,INE813H01021
Transformers And Rectifiers (India) LIMITED,Capital Goods,TARIL,EQ,INE763I01026
Trent LIMITED,Consumer Services,TRENT,EQ,INE849A01020
Trident LIMITED,Textiles,TRIDENT,EQ,INE064C01022
Triveni Engineering & Industries LIMITED,Fast Moving Consumer Goods,TRIVENI,EQ,INE256C01024
Triveni Turbine LIMITED,Capital Goods,TRITURBINE,EQ,INE152M01016
Tube Investments of India LIMITED,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018
UNO Minda LIMITED,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023
UPL LIMITED,Chemicals,UPL,EQ,INE628A01036
UTI Asset Management Company LIMITED,Financial Services,UTIAMC,EQ,INE094J01016
UltraTech Cement LIMITED,Construction Materials,ULTRACEMCO,EQ,INE481G01011
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
United Breweries LIMITED,Fast Moving Consumer Goods,UBL,EQ,INE686F01025
United Spirits LIMITED,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024
Usha Martin LIMITED,Capital Goods,USHAMART,EQ,INE228A01035
V-Guard Industries LIMITED,Consumer Durables,VGUARD,EQ,INE951I01027
Valor Estate LIMITED,Consumer Services,DBREALTY,EQ,INE879I01012
Vardhman Textiles LIMITED,Textiles,VTL,EQ,INE825A01020
Varun Beverages LIMITED,Fast Moving Consumer Goods,VBL,EQ,INE200M01039
Vedant Fashions LIMITED,Consumer Services,MANYAVAR,EQ,INE825V01034
Vedanta LIMITED,Metals & Mining,VEDL,EQ,INE205A01025
Vijaya Diagnostic Centre LIMITED,Healthcare,VIJAYA,EQ,INE043W01024
Vishal Mega Mart LIMITED,Consumer Services,VMM,EQ,INE01EA01019
Vodafone Idea LIMITED,Telecommunication,IDEA,EQ,INE669E01016
Voltas LIMITED,Consumer Durables,VOLTAS,EQ,INE226A01021
Waaree Energies LIMITED,Capital Goods,WAAREEENER,EQ,INE377N01017
Welspun Corp LIMITED,Capital Goods,WELCORP,EQ,INE191B01025
Welspun Living LIMITED,Textiles,WELSPUNLIV,EQ,INE192B01031
Westlife Foodworld LIMITED,Consumer Services,WESTLIFE,EQ,INE274F01020
Whirlpool of India LIMITED,Consumer Durables,WHIRLPOOL,EQ,INE716A01013
Wipro LIMITED,Information Technology,WIPRO,EQ,INE075A01022
Wockhardt LIMITED,Healthcare,WOCKPHARMA,EQ,INE049B01025
Yes Bank LIMITED,Financial Services,YESBANK,EQ,INE528G01035
ZF Commercial Vehicle Control Systems India LIMITED,Automobile and Auto Components,ZFCVINDIA,EQ,INE342J01019
Zee Entertainment Enterprises LIMITED,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
Zen Technologies LIMITED,Capital Goods,ZENTEC,EQ,INE251B01027
Zensar Technolgies LIMITED,Information Technology,ZENSARTECH,EQ,INE520A01027
Zydus Lifesciences LIMITED,Healthcare,ZYDUSLIFE,EQ,INE010B01027
eClerx Services LIMITED,Services,ECLERX,EQ,INE738I01010
